Theta[deg],Phi[deg],re(rEPhi)[mV],im(rEPhi)[mV],re(rETheta)[mV],im(rETheta)[mV]
-45,67,-1533.99,3443.06,-4936.74,8945
-44,67,-1562.84,3512.77,-4982.25,9050.04
-43,67,-1591.33,3581.74,-5027.8,9155.4
-42,67,-1619.45,3649.91,-5073.3,9260.95
-41,67,-1647.19,3717.24,-5118.71,9366.53
-40,67,-1674.54,3783.71,-5163.96,9472.02
-39,67,-1701.49,3849.25,-5208.97,9577.27
-38,67,-1728.01,3913.83,-5253.7,9682.13
-37,67,-1754.1,3977.42,-5298.06,9786.47
-36,67,-1779.75,4039.95,-5341.99,9890.12
-35,67,-1804.93,4101.4,-5385.44,9992.95
-34,67,-1829.64,4161.71,-5428.32,10094.8
-33,67,-1853.87,4220.85,-5470.58,10195.5
-32,67,-1877.59,4278.77,-5512.14,10295
-31,67,-1900.8,4335.43,-5552.94,10393.1
-30,67,-1923.48,4390.78,-5592.92,10489.6
-29,67,-1945.61,4444.8,-5632.01,10584.3
-28,67,-1967.19,4497.43,-5670.14,10677.3
-27,67,-1988.19,4548.63,-5707.25,10768.2
-26,67,-2008.6,4598.37,-5743.28,10857
-25,67,-2028.41,4646.6,-5778.16,10943.5
-24,67,-2047.6,4693.28,-5811.83,11027.6
-23,67,-2066.15,4738.39,-5844.24,11109.2
-22,67,-2084.06,4781.87,-5875.33,11188.1
-21,67,-2101.31,4823.71,-5905.03,11264.2
-20,67,-2117.88,4863.85,-5933.3,11337.4
-19,67,-2133.76,4902.27,-5960.07,11407.5
-18,67,-2148.92,4938.93,-5985.3,11474.5
-17,67,-2163.37,4973.81,-6008.95,11538.2
-16,67,-2177.09,5006.87,-6030.95,11598.6
-15,67,-2190.05,5038.08,-6051.28,11655.6
-14,67,-2202.25,5067.42,-6069.88,11708.9
-13,67,-2213.67,5094.86,-6086.72,11758.7
-12,67,-2224.3,5120.38,-6101.76,11804.7
-11,67,-2234.13,5143.95,-6114.96,11846.9
-10,67,-2243.15,5165.56,-6126.3,11885.3
-9,67,-2251.33,5185.18,-6135.76,11919.7
-8,67,-2258.68,5202.79,-6143.29,11950.2
-7,67,-2265.18,5218.38,-6148.89,11976.6
-6,67,-2270.81,5231.94,-6152.54,11998.9
-5,67,-2275.58,5243.45,-6154.21,12017.2
-4,67,-2279.46,5252.9,-6153.91,12031.3
-3,67,-2282.46,5260.28,-6151.61,12041.2
-2,67,-2284.56,5265.59,-6147.33,12046.9
-1,67,-2285.76,5268.83,-6141.05,12048.4
0,67,-2286.05,5269.98,-6132.78,12045.8
1,67,-2285.43,5269.05,-6122.53,12038.9
2,67,-2283.89,5266.04,-6110.3,12027.9
3,67,-2281.42,5260.95,-6096.12,12012.7
4,67,-2278.03,5253.79,-6079.98,11993.3
5,67,-2273.72,5244.56,-6061.92,11969.9
6,67,-2268.48,5233.28,-6041.96,11942.3
7,67,-2262.31,5219.95,-6020.13,11910.8
8,67,-2255.22,5204.59,-5996.44,11875.2
9,67,-2247.22,5187.21,-5970.94,11835.8
10,67,-2238.29,5167.84,-5943.67,11792.5
11,67,-2228.46,5146.48,-5914.65,11745.3
12,67,-2217.72,5123.16,-5883.93,11694.5
13,67,-2206.09,5097.91,-5851.56,11640
14,67,-2193.57,5070.74,-5817.57,11582
15,67,-2180.17,5041.68,-5782.03,11520.6
16,67,-2165.9,5010.76,-5744.97,11455.7
17,67,-2150.79,4978.01,-5706.46,11387.6
18,67,-2134.83,4943.45,-5666.54,11316.3
19,67,-2118.05,4907.13,-5625.28,11242
20,67,-2100.45,4869.07,-5582.73,11164.8
21,67,-2082.07,4829.31,-5538.94,11084.7
22,67,-2062.91,4787.87,-5494,11002
23,67,-2042.99,4744.81,-5447.94,10916.6
24,67,-2022.34,4700.15,-5400.85,10828.9
25,67,-2000.97,4653.94,-5352.78,10738.8
26,67,-1978.9,4606.21,-5303.79,10646.6
27,67,-1956.16,4557,-5253.96,10552.3
28,67,-1932.77,4506.35,-5203.36,10456.1
29,67,-1908.75,4454.3,-5152.03,10358.1
30,67,-1884.13,4400.9,-5100.07,10258.6
31,67,-1858.92,4346.18,-5047.52,10157.5
32,67,-1833.16,4290.19,-4994.47,10055.1
33,67,-1806.87,4232.96,-4940.97,9951.54
